player_name,position,team,proj_fpts,clean_name,depth_chart_order,search_rank,custom_rank,vorp,tier,rank
Eku Leota,LB,ARI,115.0,eku leota,2.0,9999999.0,9999999.0,-23.875,Tier 5,286
Joe Andreessen,LB,BUF,115.0,joe andreessen,2.0,650.0,650.0,-23.875,Tier 5,287
Garret Wallow,LB,SF,115.0,garret wallow,2.0,9999999.0,9999999.0,-23.875,Tier 5,288
Branson Combs,LB,JAX,115.0,branson combs,2.0,9999999.0,9999999.0,-23.875,Tier 5,289
Jay Higgins,LB,BAL,115.0,jay higgins,2.0,9999999.0,9999999.0,-23.875,Tier 5,290
Keyshaun Elliott,LB,CHI,115.0,keyshaun elliott,2.0,642.0,642.0,-23.875,Tier 5,291
Karene Reid,LB,DEN,115.0,karene reid,2.0,9999999.0,9999999.0,-23.875,Tier 5,292
Jackson Woodard,LB,MIA,115.0,jackson woodard,2.0,9999999.0,9999999.0,-23.875,Tier 5,293
Tahj Chambers,LB,IND,115.0,tahj chambers,2.0,681.0,681.0,-23.875,Tier 5,294
Ty'Ron Hopper,LB,GB,115.0,tyron hopper,2.0,9999999.0,9999999.0,-23.875,Tier 5,295
Tyree Wilson,LB,NO,115.0,tyree wilson,2.0,9999999.0,9999999.0,-23.875,Tier 5,296
Jahlani Tavai,LB,JAX,115.0,jahlani tavai,2.0,9999999.0,9999999.0,-23.875,Tier 5,297
Darius Muasau,LB,NYG,115.0,darius muasau,2.0,598.0,598.0,-23.875,Tier 5,298
Namdi Obiazor,LB,NE,115.0,namdi obiazor,2.0,654.0,654.0,-23.875,Tier 5,299
Dante Fowler,LB,SEA,115.0,dante fowler,2.0,9999999.0,9999999.0,-23.875,Tier 5,300
