season,sleeper_id,player_name,position,team,total_pts,pos_rank
2025,8316,Micheal Clemons,DL,IND,35.0,52
2025,11588,Jawhar Jordan,RB,HOU,34.8,87
2025,5031,Oren Burks,LB,CIN,34.5,129
2025,6220,Cole Holcomb,LB,PIT,34.5,129
2025,10988,Cameron Mitchell,DB,IND,34.5,153
2025,2501,Quandre Diggs,DB,,34.0,154
2025,8341,Cam Taylor-Britt,DB,IND,34.0,154
2025,11439,Jaleel McLaughlin,RB,DEN,33.82,88
2025,10904,Keion White,DL,SF,33.75,53
2025,12971,Ke'Shawn Williams,WR,CIN,33.5,135
2025,7023,Willie Gay,LB,MIA,33.5,131
2025,12554,Tyleik Williams,DL,DET,33.5,54
2025,12590,Alfred Collins,DL,SF,33.5,54
2025,11589,Trey Benson,RB,ARI,33.48,89
2025,3976,Mitchell Trubisky,QB,TEN,33.15,48
2025,8181,Connor Heyward,TE,LV,33.1,63
2025,10926,Marte Mapu,DB,HOU,33.0,156
2025,11371,Julian Hill,TE,NE,33.0,64
2025,7535,Hunter Long,TE,JAX,32.8,65
2025,11762,Anthony Gould,WR,IND,32.52,136
2025,6001,Drew Sample,TE,CIN,32.5,66
2025,4054,Mo Alie-Cox,TE,IND,32.4,67
2025,4198,Jamal Agnew,WR,,32.2,137
2025,4666,Younghoe Koo,K,,32.0,38
2025,6921,Josh Uche,LB,MIA,32.0,132
2025,11847,James Williams,DB,TEN,32.0,157
2025,13066,Ben Sauls,K,NYG,32.0,38
2025,2327,Bud Dupree,LB,LAC,32.0,132
2025,11630,Roman Wilson,WR,PIT,31.9,138
2025,12483,Jack Bech,WR,LV,31.9,138
2025,8391,Dominique Robinson,DL,HOU,31.75,56
2025,4137,James Conner,RB,ARI,31.7,90
2025,4992,Dante Pettis,WR,,31.5,140
2025,6839,Jaylon Johnson,DB,CHI,31.5,158
2025,2343,Preston Smith,LB,,31.25,134
2025,7537,Jaret Patterson,RB,LAC,31.16,91
2025,11770,JD Bertrand,LB,ATL,31.0,135
2025,8271,Derion Kendrick,DB,DAL,31.0,159
2025,12602,Mykel Williams,DL,SF,30.5,57
2025,11720,Marist Liufau,LB,DAL,30.5,136
2025,5883,Lonnie Johnson,DB,MIA,30.5,160
2025,11765,Kris Abrams-Draine,DB,DEN,30.5,160
2025,6960,Tyler Johnson,WR,DAL,30.5,141
2025,7842,Luke Farrell,TE,SF,30.4,68
2025,12542,Efton Chism,WR,NE,30.02,142
2025,5882,Taylor Rapp,DB,,30.0,162
2025,12670,KeAndre Lambert-Smith,WR,LAC,29.82,143
2025,11305,Claudin Cherelus,LB,CAR,29.5,137
2025,10933,DeMarvion Overshown,LB,DAL,29.5,137
2025,11895,Mason Tipton,WR,NO,29.32,144
2025,6928,Kindle Vildor,DB,NE,29.32,163
2025,11596,Ben Sinnott,TE,WAS,29.3,69
2025,10871,Luke Schoonmaker,TE,DAL,29.3,69
2025,12720,Zeek Biggers,DL,MIA,29.25,58
2025,7716,John Bates,TE,WAS,29.2,71
2025,7562,Tutu Atwell,WR,MIA,29.1,145
2025,12115,Dell Pettus,DB,NE,29.0,164
2025,1689,Adam Thielen,WR,,28.2,146
2025,12470,Riley Leonard,QB,IND,28.15,49
2025,12500,Quinn Ewers,QB,MIA,28.0,50
2025,11618,Jalen McMillan,WR,TB,27.8,147
2025,6151,Miles Sanders,RB,,27.62,92
2025,11370,Chris Brooks,RB,GB,27.6,93
2025,10939,Jay Ward,DB,MIN,27.5,165
2025,11000,Zaire Barnes,LB,NYG,27.5,139
2025,5955,Hunter Renfrow,WR,,27.42,148
2025,4082,Curtis Samuel,WR,,27.32,149
2025,11068,Mitch Tinsley,WR,CIN,27.2,150
2025,12679,Jordan Phillips,DL,MIA,27.0,59
2025,10919,Sydney Brown,DB,ATL,27.0,166
2025,6284,Marcus Epps,DB,PHI,27.0,166
2025,5938,Lil'Jordan Humphrey,WR,DEN,26.8,151
2025,10958,Dylan Horton,DL,HOU,26.75,60
2025,12457,Jaydon Blue,RB,DAL,26.48,94
2025,4995,Ian Thomas,TE,LV,26.1,72
2025,11019,Erick Hallett,DB,TEN,26.0,168
2025,8500,John FitzPatrick,TE,,25.5,73
2025,11893,Isaiah Stalbird,LB,NO,25.5,140
2025,11052,Jaylon Jones,DB,IND,25.5,169
2025,6943,Gabe Davis,WR,,25.2,152
2025,8200,Kevin Austin,WR,NO,25.2,152
2025,6588,Tom Kennedy,WR,DET,25.08,154
2025,5055,M.J. Stewart,DB,HOU,25.0,170
2025,11018,Christian Braswell,DB,JAX,25.0,170
2025,11014,Kei'Trel Clark,DB,ARI,25.0,170
2025,6210,Darnell Savage,DB,PIT,25.0,170
2025,11769,Caelen Carson,DB,DAL,25.0,170
2025,11694,Marshawn Kneeland,DL,,25.0,61
2025,8135,Treylon Burks,WR,WAS,24.88,155
2025,11593,Brevyn Spann-Ford,TE,DAL,24.6,74
2025,12579,Jordan Burch,DL,ARI,24.5,62
2025,11427,Christian Izien,DB,DET,24.5,175
2025,331,Philip Rivers,QB,,24.5,51
2025,8397,Juanyeh Thomas,DB,IND,24.0,176
2025,260,Josh Johnson,QB,CIN,23.8,52
2025,7596,Elijah Moore,WR,PHI,23.8,156
2025,12860,Theo Wease,WR,MIA,23.8,156
2025,4314,Johnny Mundt,TE,PHI,23.7,75
2025,4080,Zay Jones,WR,,23.6,158
2025,5086,Marquez Valdes-Scantling,WR,DAL,23.6,158
2025,7039,Cody White,WR,SEA,23.44,160
2025,4718,Dare Ogunbowale,RB,,23.35,95
2025,8177,Grant Calcaterra,TE,PHI,23.2,76
2025,13079,Jahdae Walker,WR,CHI,23.1,161
2025,12612,T.J. Sanders,DL,BUF,23.0,63
2025,12523,Jimmy Horn,WR,CAR,22.9,162
2025,7014,Joe Bachie,LB,DET,22.5,141
2025,11066,Austin Ajiake,LB,IND,22.25,142
2025,8195,Ronnie Rivers,RB,LAR,22.22,96
2025,10234,Derius Davis,WR,LAC,22.14,163
2025,5010,Will Dissly,TE,,22.1,77
2025,11599,Cade Stover,TE,HOU,22.1,77
2025,6268,Matthew Wright,K,,22.0,40
2025,12560,Shemar Stewart,DL,CIN,22.0,64
2025,6144,Trayveon Williams,RB,,21.78,97
2025,11157,Brycen Tremayne,WR,CAR,21.6,164
2025,6920,Isaiah Hodgins,WR,NYG,21.5,165
2025,6348,Del'Shawn Phillips,LB,LAC,21.5,143
2025,12900,Danny Striggow,DL,JAX,21.25,65
2025,12472,Raheim Sanders,RB,CLE,21.2,98
2025,8932,Lucas Havrisik,K,GB,21.0,41
2025,11730,T.J. Tampa,DB,BAL,21.0,177
2025,12718,Konata Mumpfield,WR,LAR,20.7,166
2025,3303,Matthew Judon,LB,,20.5,144
2025,8139,Zamir White,RB,,20.16,99
2025,7815,K.J. Britt,LB,NE,20.0,145
2025,11576,Braelon Allen,RB,NYJ,19.9,100
2025,7268,Krys Barnes,LB,,19.75,146
2025,6323,Andrew Beck,RB,NYJ,19.5,101
2025,10969,Owen Pappoe,LB,ARI,19.5,147
2025,7036,Terrell Burgess,DB,NO,19.5,178
2025,12412,Terrell Jennings,RB,NE,19.26,102
2025,7120,Trevis Gipson,LB,CAR,19.0,148
2025,12587,Joshua Farmer,DL,NE,19.0,66
2025,12541,Dont'e Thornton,WR,LV,19.0,167
2025,12397,Joe Andreessen,LB,BUF,19.0,148
2025,2427,Za'Darius Smith,LB,,18.75,150
2025,5133,Tyler Conklin,TE,DET,18.7,79
2025,8849,Tanner Conner,TE,NYG,18.7,79
2025,12504,Kaleb Johnson,RB,PIT,18.6,103
2025,7757,Ben Skowronek,WR,PIT,18.5,168
2025,8527,Dareke Young,WR,LV,18.48,169
2025,7536,Quintin Morris,TE,JAX,18.4,81
2025,7012,Mykal Walker,LB,NYJ,18.0,151
2025,7625,Joe Tryon-Shoyinka,LB,,18.0,151
2025,4171,Josh Reynolds,WR,,18.0,170
2025,7946,Jack Stoll,TE,CLE,18.0,82
2025,5959,Mike Edwards,DB,,18.0,179
2025,11761,Tommy Eichenberg,LB,LV,18.0,151
2025,11240,C.J. Okoye,DL,BAL,18.0,67
2025,8253,Deven Thompkins,WR,,17.9,171
2025,12704,Warren Brinson,DL,GB,17.75,68
2025,12710,Jaylen Reed,DB,HOU,17.73,180
2025,12543,Tahj Brooks,RB,CIN,17.72,104
2025,8618,Marcelino McCrary-Ball,LB,NYJ,17.5,154
2025,6419,P.J. Locke,DB,DAL,17.5,181
2025,10906,JuJu Brents,DB,MIA,17.5,181
2025,12269,Brandon Codrington,DB,HOU,17.32,183
2025,12636,Que Robinson,LB,DEN,17.25,155
2025,11433,Nate Adkins,TE,DEN,17.2,83
2025,8123,Hassan Haskins,RB,,17.18,105
2025,7595,Tylan Wallace,WR,CLE,17.02,172
2025,5185,Allen Lazard,WR,,17.0,173
2025,7053,Daniel Thomas,DB,CLE,17.0,184
2025,8331,Otito Ogbonnia,DL,DAL,16.75,69
2025,7970,Ar'Darius Washington,DB,NYG,16.5,185
2025,3222,Deion Jones,LB,,16.5,156
2025,6612,Luke Gifford,LB,SF,16.5,156
2025,8365,Kyler Gordon,DB,CHI,16.5,185
2025,11752,Jeremiah Trotter,LB,PHI,16.5,156
2025,11185,Kendell Brooks,DB,TEN,16.5,185
2025,7496,Nick Westbrook-Ikhine,WR,IND,16.3,174
2025,12736,Kitan Crawford,DB,ARI,16.0,188
2025,12699,LaJohntay Wester,WR,BAL,15.76,175
2025,6353,Troy Reeder,LB,,15.5,159
2025,12603,Cobee Bryant,DB,ATL,15.5,189
2025,11395,Keidron Smith,DB,NYJ,15.5,189
2025,8517,Rodney Thomas,LB,SEA,15.4,160
2025,6931,DeeJay Dallas,RB,JAX,15.24,106
2025,8542,Tristin McCollum,DB,LV,15.0,191
2025,8710,Jack Cochrane,LB,KC,15.0,161
2025,11230,Patrick O'Connell,LB,SEA,15.0,161
2025,7936,Amen Ogbongbemiga,LB,,15.0,161
2025,8332,Matthew Butler,DL,MIA,15.0,70
2025,13101,Gage Larvadain,WR,CLE,14.98,176
2025,9220,Evan Hull,RB,HOU,14.86,107
2025,5096,Ray-Ray McCloud,WR,,14.84,177
2025,8795,D'Anthony Bell,DB,SEA,14.75,192
2025,11633,Jamari Thrash,WR,CLE,14.7,178
2025,10212,Josh Whyle,TE,GB,14.6,84
2025,3215,Xavien Howard,DB,,14.55,193
2025,11348,Trevor Nowaske,LB,DET,14.5,164
2025,11193,Brenton Cox,LB,GB,14.5,164
2025,8342,Esezi Otomewo,DL,PIT,14.5,71
2025,8583,Stone Smartt,TE,PHI,14.5,85
2025,12583,Oluwafemi Oladejo,DL,TEN,14.5,71
2025,4435,Anthony Firkser,TE,WAS,14.5,85
2025,11034,Jalen Brooks,WR,ARI,14.46,179
2025,8287,David Ojabo,DL,MIA,14.25,73
2025,11421,Ryan Miller,WR,NYG,14.2,180
2025,11027,Alex Austin,DB,MIA,14.0,194
2025,4972,Mason Rudolph,QB,PIT,14.0,53
2025,12031,Leonard Taylor,DL,NE,14.0,74
2025,11257,Shedrick Jackson,WR,LV,13.6,181
2025,11306,Xavier Gipson,WR,NYG,13.6,181
2025,12357,David Martin-Robinson,TE,TEN,13.6,87
2025,8274,LaBryan Ray,DL,CAR,13.5,75
2025,8334,Malcolm Rodriguez,LB,DET,13.5,166
2025,8309,Damone Clark,LB,DET,13.5,166
2025,11712,Ty'Ron Hopper,LB,GB,13.5,166
2025,7602,Kylen Granson,TE,TEN,13.3,88
2025,2750,DeAndre Carter,WR,,13.2,183
2025,5985,Foster Moreau,TE,HOU,13.2,89
2025,8295,Zach Carter,DL,ARI,13.0,76
2025,8262,DJ Davidson,DL,WAS,13.0,76
2025,12855,Alijah Clark,DB,DAL,13.0,195
2025,7075,Charlie Woerner,TE,ATL,13.0,90
2025,12594,JT Tuimoloau,DL,IND,13.0,76
2025,9497,Jalin Hyatt,WR,NYG,12.94,184
2025,13150,Darius Cooper,WR,PHI,12.8,185
2025,8489,Drew Ogletree,TE,IND,12.8,91
2025,8414,Britain Covey,WR,PHI,12.76,186
2025,6947,K'Von Wallace,DB,BAL,12.5,196
2025,12471,DJ Giddens,RB,IND,12.2,108
2025,8230,Ty Chandler,RB,NO,12.06,109
2025,8481,Ja'Sir Taylor,DB,CIN,12.0,197
2025,12385,Jude McAtamney,K,,12.0,42
2025,4091,Marcus Williams,DB,,12.0,197
2025,11806,Casey Washington,WR,,11.8,187
2025,8076,Michael Bandy,WR,DEN,11.76,188
2025,12539,Arian Smith,WR,NYJ,11.66,189
2025,7746,Austin Trammell,WR,JAX,11.56,190
2025,11921,Xavier Weaver,WR,ARI,11.54,191
2025,10963,Jakorian Bennett,DB,PHI,11.5,199
2025,4663,Austin Ekeler,RB,,11.5,110
2025,12923,Jordan Clark,DB,NYJ,11.5,199
2025,6105,Joe Giles-Harris,LB,CIN,11.5,169
2025,12374,Brenden Bates,TE,CLE,11.4,92
2025,11474,Dylan Drummond,WR,ATL,11.4,192
2025,7050,Josiah Deguara,TE,,11.3,93
2025,7528,Najee Harris,RB,,11.3,111
2025,6290,Scotty Miller,WR,CHI,11.16,193
2025,8423,Brittain Brown,RB,CHI,11.12,112
2025,7233,Andre Baccellia,WR,,11.04,194
2025,8278,Christian Harris,LB,ATL,11.0,170
2025,12702,Rayuan Lane,DB,JAX,11.0,201
2025,11210,Malik Heath,WR,ATL,11.0,195
2025,12607,Jamon Johnson,LB,,11.0,170
2025,11816,Javontae Jean-Baptiste,DL,WAS,11.0,79
2025,8223,Velus Jones,WR,SEA,10.92,196
2025,11557,Joe Milton,QB,DAL,10.85,54
2025,12496,Tai Felton,WR,MIN,10.82,197
2025,6402,Steven Sims,WR,,10.72,198
2025,7770,Patrick Johnson,LB,,10.5,172
2025,13049,Alijah Huzzie,DB,HOU,10.5,202
2025,12661,Jordan Hancock,DB,BUF,10.5,202
2025,13000,Shaun Dolac,LB,LAR,10.5,172
2025,12238,Eric Watts,DL,NYJ,10.5,80
2025,9230,Tanner McKee,QB,PHI,10.5,55
2025,8578,Raheem Layne,DB,NYG,10.5,202
2025,8273,Phidarian Mathis,DL,BUF,10.5,80
2025,5121,Braxton Berrios,WR,NYG,10.34,199
2025,4234,Noah Brown,WR,,10.3,200
2025,12738,Phil Mafah,RB,DAL,10.2,113
2025,12491,Corey Kiner,RB,ARI,10.18,114
2025,6938,Cam Akers,RB,,10.16,115
2025,12765,Keleki Latu,TE,BUF,10.1,94
2025,12630,Nick Martin,LB,SF,10.0,174
2025,4056,Jabrill Peppers,DB,,10.0,205
2025,8306,John Ridgeway,DL,NO,10.0,82
2025,12920,Dean Clark,DB,NYJ,10.0,205
2025,4189,Eric Saubert,TE,SEA,9.7,95
2025,5000,Chase Edmonds,RB,,9.68,116
2025,6476,D'Angelo Ross,DB,CLE,9.5,207
2025,12171,British Brooks,RB,HOU,9.5,117
2025,7044,Julian Blackmon,DB,NO,9.5,207
2025,6828,AJ Dillon,RB,CAR,9.5,117
2025,10221,Ronnie Bell,WR,NO,9.1,201
2025,6843,Albert Okwuegbunam,TE,LV,9.1,96
2025,6694,D'Ernest Johnson,RB,,9.02,119
2025,12653,Jack Kiser,LB,JAX,9.0,175
2025,13156,Keondre Jackson,DB,BAL,9.0,209
2025,11775,Jaylin Simpson,DB,GB,9.0,209
2025,6957,James Proche,WR,,8.9,202
2025,8129,Dameon Pierce,RB,PHI,8.68,120
2025,12819,Kevin Knowles,DB,KC,8.5,211
2025,12956,Bam Martin-Scott,LB,CAR,8.5,176
2025,12835,Marlowe Wax,LB,LAC,8.5,176
2025,11763,Kitan Oladapo,DB,GB,8.5,211
2025,7608,Khalil Herbert,RB,,8.48,121
2025,8254,Julius Chestnut,RB,TEN,8.34,122
2025,5347,Nyheim Miller-Hines,RB,,8.24,123
2025,11811,Logan Lee,DL,PIT,8.0,83
2025,8004,Devon Key,DB,DEN,8.0,213
2025,12783,Donovan McMillon,DB,CLE,8.0,213
2025,12927,Nazir Stackhouse,DL,GB,8.0,83
2025,8509,Elijah Hicks,DB,CHI,7.5,215
2025,7844,Sam Kamara,LB,CLE,7.5,178
2025,8526,Cameron Goode,LB,MIA,7.5,178
2025,10997,Jerrick Reed,DB,TEN,7.5,215
2025,8370,Jordan Jackson,DL,DEN,7.5,85
2025,12948,Austin Keys,LB,ARI,7.5,178
2025,8377,Tycen Anderson,DB,DEN,7.5,215
2025,12931,Johnathan Baldwin,DB,GB,7.5,215
2025,11820,Devin Culp,TE,TB,7.5,97
2025,7750,Grant Stuard,LB,LAR,7.48,181
2025,3423,Robbie Chosen,WR,,7.3,203
2025,8207,Tyler Goodson,RB,ATL,7.3,124
