"id","first_name","last_name","team","position","pos","points","floor","ceiling","sd_pts","player_name"
"13148","Dare","Ogunbowale","LVR","RB","RB",11.09,11.09,11.09,NA,"Dare Ogunbowale"
"17056","Trevor","Etienne","CAR","RB","RB",11.0725,7.601,14.18,4.74432,"Trevor Etienne"
"15726","Ronnie","Rivers","LAR","RB","RB",10.47,10.47,10.47,NA,"Ronnie Rivers"
"12325","Michael","Burton","CLE","RB","RB",10.22,1.148,19.292,14.944608,"Michael Burton"
"15650","Adam","Prentice","DEN","RB","RB",9.67,9.67,9.67,NA,"Adam Prentice"
"17267","Lan","Larison","NEP","RB","RB",9.12,9.12,9.12,NA,"Lan Larison"
"16816","British","Brooks","HOU","RB","RB",7.94,7.94,7.94,NA,"British Brooks"
"16180","Evan","Hull","ARI","RB","RB",6,6,6,NA,"Evan Hull"
"17274","Corey","Kiner","ARI","RB","RB",4.85,4.85,4.85,NA,"Corey Kiner"
"16613","Dylan","Laube","LVR","RB","RB",4.365,3.9645,4.7655,0.659757000000001,"Dylan Laube"
"15720","Hassan","Haskins","NEP","RB","RB",4.13,4.13,4.13,NA,"Hassan Haskins"
"15730","Tyler","Goodson","ATL","RB","RB",3.49,3.49,3.49,NA,"Tyler Goodson"
"16678","Sione","Vaki","DET","RB","RB",3.41,3.41,3.41,NA,"Sione Vaki"
"14420","Alec","Ingold","LAC","RB","RB",2.94,2.94,2.94,NA,"Alec Ingold"
"14331","D'Ernest","Johnson","TEN","RB","RB",2.88,2.88,2.88,NA,"D'Ernest Johnson"
"15733","Pierre","Strong Jr.","GBP","RB","RB",2.8,2.8,2.8,NA,"Pierre Strong Jr."
"16173","Eric","Gray","NYG","RB","RB",2.72,2.72,2.72,NA,"Eric Gray"
"15714","Zamir","White","NOS","RB","RB",1.76,1.76,1.76,NA,"Zamir White"
"17050","Kalel","Mullings","TEN","RB","RB",1.44,1.44,1.44,NA,"Kalel Mullings"
"15414","Kene","Nwangwu","NYJ","RB","RB",1.135,1.0135,1.2565,0.200151,"Kene Nwangwu"
"15103","Reggie","Gilliam","NEP","RB","RB",1.03,1.03,1.03,NA,"Reggie Gilliam"
"17348","Nathan","Carter","ATL","RB","RB",0.96,0.96,0.96,NA,"Nathan Carter"
"17307","Ulysses","Bentley","IND","RB","RB",0.85,0.85,0.85,NA,"Ulysses Bentley"
"16850","Jacob","Saylors","DET","RB","RB",0.41,0.347,0.473,0.103782,"Jacob Saylors"
"13455","Patrick","Ricard","NYG","RB","RB",0.28,0.28,0.28,NA,"Patrick Ricard"
"17359","Josh","Williams","TBB","RB","RB",0.11,0.101,0.119,0.014826,"Josh Williams"
"16211","Puka","Nacua","LAR","WR","WR",335.629577817214,327.0049718464,353.919298993492,3.36081150997928,"Puka Nacua"
"15281","Ja'Marr","Chase","CIN","WR","WR",325.585358321345,318.790844329157,352.09993179175,3.7980271367424,"Ja'Marr Chase"
"16185","Jaxon","Smith-Njigba","SEA","WR","WR",316.720997468706,304.020889697888,333.707028454697,2.66012531049638,"Jaxon Smith-Njigba"
"15287","Amon-Ra","St. Brown","DET","WR","WR",288.171234478756,284.481808002108,290.379012999414,2.54945350177782,"Amon-Ra St. Brown"
"14832","CeeDee","Lamb","DAL","WR","WR",251.328665883303,235.594865647454,268.432320523659,12.7022417776511,"CeeDee Lamb"
"15751","Drake","London","ATL","WR","WR",245.273835727053,217.22132690489,277.662716819457,22.3570071795456,"Drake London"
"14836","Justin","Jefferson","MIN","WR","WR",241.206694785512,222.345228940111,277.192466501571,11.249704604036,"Justin Jefferson"
"15762","George","Pickens","DAL","WR","WR",235.423342595317,206.884433116362,264.154302040362,14.2981513971446,"George Pickens"
"16194","Rashee","Rice","KCC","WR","WR",228.838445430713,208.11700210664,255.327204373331,24.5959363900062,"Rashee Rice"
"14104","A.J.","Brown","NEP","WR","WR",228.320684309675,208.095506071166,247.935392643809,19.8283878263985,"A.J. Brown"
